remarks,cleaned_remarks
"BackYard,CornerLot,DripIrrigationBubblers,FrontYard,HorseProperty,StreetLevel","BackYard,CornerLot,DripIrrigationBubblers,FrontYard,HorseProperty,StreetLevel"
", 0, 0, 1, 1, NULL, 0, 1, 26, NULL, 0, NULL, NULL, 1, NULL, NULL, 0.2400, 10454.00, 10454.00, ",", 0, 0, 1, 1, NULL, 0, 1, 26, NULL, 0, NULL, NULL, 1, NULL, NULL, 0.2400, 10454.00, 10454.00,"
"Cash,CashToNewLoan,Conventional,Contract,CalVetLoan,Exchange1031,Submit","Cash,CashToNewLoan,Conventional,Contract,CalVetLoan,Exchange1031,Submit"
"Enter this meticulously maintained and updated home at the top of Park Hill via the spacious front porch, and take in the tasteful finishes and white water views! Vaulted beam ceilings and Adelaide stone fireplace complement the window wall with ocean views that stretch to the San Simeon Point and beyond. Wood floors, stone countertops and updated cabinets blend with great wall colors, creating a very relaxing home. Decks off of the living room and kitchen provide sitting areas for whale watching and BBQing. The two-car garage, with plenty of built-ins, is on the same level as the kitchen/living/dining room, along with a 1/4 bathroom. Downstairs, the main bedroom with ocean views available from bed and sitting areas, even the vanity. \r\r\nThe en suite bathroom has a double vanity and a walk-in shower. Down the hall is the guest bedroom with ocean views and a full bathroom. \r\r\nThe third bedroom is a separate guest quarters with its own 1/2 bath with plenty of built-ins including bunk beds.\r\r\nThis home is very much move-in-ready! \r\r\nThe front yard is hardscaped and handsome with easy-care plants. The backyard has a vegetable garden with berries, artichokes, etc.  Below the house is a finished workshop with automatic lights, plenty of power and dry storage. Call your Realtor to see this one for yourself!","Enter this meticulously maintained and updated home at the top of Park Hill via the spacious front porch, and take in the tasteful finishes and white water views! Vaulted beam ceilings and Adelaide stone fireplace complement the window wall with ocean views that stretch to the San Simeon Point and beyond. Wood floors, stone countertops and updated cabinets blend with great wall colors, creating a very relaxing home. Decks off of the living room and kitchen provide sitting areas for whale watching and BBQing. The two-car garage, with plenty of built-ins, is on the same level as the kitchen/living/dining room, along with a 1/4 bathroom. Downstairs, the main bedroom with ocean views available from bed and sitting areas, even the vanity. \r\r\nThe en suite bathroom has a double vanity and a walk-in shower. Down the hall is the guest bedroom with ocean views and a full bathroom. \r\r\nThe third bedroom is a separate guest quarters with its own 1/2 bath with plenty of built-ins including bunk beds.\r\r\nThis home is very much move-in-ready! \r\r\nThe front yard is hardscaped and handsome with easy-care plants. The backyard has a vegetable garden with berries, artichokes, etc. Below the house is a finished workshop with automatic lights, plenty of power and dry storage. Call your Realtor to see this one for yourself!"
"Cash,CashToExistingLoan,CashToNewLoan,Conventional,CalVetLoan,Exchange1031,FHA,FreddieMac,Submit,UsdaLoan,VaLoan","Cash,CashToExistingLoan,CashToNewLoan,Conventional,CalVetLoan,Exchange1031,FHA,FreddieMac,Submit,UsdaLoan,VaLoan"
", 1, NULL, 1, 1, NULL, 1, NULL, 8, NULL, 0, 105, NULL, 0, 1, NULL, 0.9250, 40295.00, 40295.00, ",", 1, NULL, 1, 1, NULL, 1, NULL, 8, NULL, 0, 105, NULL, 0, 1, NULL, 0.9250, 40295.00, 40295.00,"
"CovenantsRestrictionsDisclosure,EarthquakeInsuranceAvailable,HomeWarranty,RentControl","CovenantsRestrictionsDisclosure,EarthquakeInsuranceAvailable,HomeWarranty,RentControl"
"BocceCourt,BilliardRoom,Clubhouse,SportCourt,FitnessCenter,GolfCourse,MaintenanceGrounds,GameRoom,HorseTrails,MeetingRoom,Management,MeetingBanquetPartyRoom,Pickleball,Pool,PetRestrictions,PetsAllowed,RecreationRoom,RvParking,SpaHotTub,TennisCourts,Trash","BocceCourt,BilliardRoom,Clubhouse,SportCourt,FitnessCenter,GolfCourse,MaintenanceGrounds,GameRoom,HorseTrails,MeetingRoom,Management,MeetingBanquetPartyRoom,Pickleball,Pool,PetRestrictions,PetsAllowed,RecreationRoom,RvParking,SpaHotTub,TennisCourts,Trash"
"SixBurnerStove,ConvectionOven,Dishwasher,Disposal,GasOven,HighEfficiencyWaterHeater,Microwave","SixBurnerStove,ConvectionOven,Dishwasher,Disposal,GasOven,HighEfficiencyWaterHeater,Microwave"
", 0, 0, 0, NULL, NULL, 0, 0, 1, 1, 0, 0, NULL, 91, 91, 1, 1, NULL, 1, 1, 479900, 1.7621, 76759.00, 76759.00, ",", 0, 0, 0, NULL, NULL, 0, 0, 1, 1, 0, 0, NULL, 91, 91, 1, 1, NULL, 1, 1, 479900, 1.7621, 76759.00, 76759.00,"
", 0, 0, 0, NULL, NULL, 0, 0, 1, 1, 1, 0, NULL, 1, 183, 0, 1, NULL, 2, 1, NULL, 3.7500, 163350.00, 3.75, ",", 0, 0, 0, NULL, NULL, 0, 0, 1, 1, 1, 0, NULL, 1, 183, 0, 1, NULL, 2, 1, NULL, 3.7500, 163350.00, 3.75,"
", 0, 0, 1, 1, 0, 0, 0, 49, 49, NULL, 1, 8, 1, 1, 875000, 0.1320, 5750.00, 5750.00, ",", 0, 0, 1, 1, 0, 0, 0, 49, 49, NULL, 1, 8, 1, 1, 875000, 0.1320, 5750.00, 5750.00,"
", 0, 0, 1, 1, 1, 0, 0, 35, 35, 0, 1, NULL, 1, 1, NULL, 0.9100, 39639.60, 0.91, ",", 0, 0, 1, 1, 1, 0, 0, 35, 35, 0, 1, NULL, 1, 1, NULL, 0.9100, 39639.60, 0.91,"
", 0, 0, 1, 1, 1, 0, 0, 136, 136, NULL, 1, 4, 1, 1, NULL, 0.4781, 20826.00, 20826.00, ",", 0, 0, 1, 1, 1, 0, 0, 136, 136, NULL, 1, 4, 1, 1, NULL, 0.4781, 20826.00, 20826.00,"
"BeamedCeilings,GraniteCounters,OpenFloorplan,PrimarySuite,UtilityRoom,WalkInClosets","BeamedCeilings,GraniteCounters,OpenFloorplan,PrimarySuite,UtilityRoom,WalkInClosets"
"Privacy and tranquility define this single-level post-and-beam residence designed by Buff and Hensman. Once owned by the Van Halen brothers, the home beautifully captures modernist ideals with its graceful simplicity and seamless connection between indoor and outdoor spaces. Expansive walls of glass, allowing for natural light in every room, frame stunning views of the treetops and city skyline. The thoughtfully designed floor plan places all bedrooms together in one wing, while the opposite wing features a kitchen and a separate family room with its own closet and full bathroom. A custom stained-glass window completed in 1990 by renowned artist, Judy Jansen, highlights the entry and dining areas. The home has undergone extensive upgrades, including an 800-square-foot addition, a heated pool and spa, updated landscaping, a newer air conditioning -- all while preserving the original Buff and Hensman design and enhancing it with a more contemporary interior style. First time on market in over 30 years! A rare opportunity to customize this historic home offering endless possibilities.ADDITIONAL FEATURES:Private cul-de-sac road  with only 5 houses,Views of Eaton Canyon Golf Course and mountains, Newer paved pool deck, Wood burning fireplaceExtra bonus/storage room, Viking stove/oven in kitchenIndividual laundry room, Stained glass build in 1990 upon sellers special order by renowned artist, Judy Jansen, collaborating with Buff and Hensman in many of the houses they designed, Heated pool and spa (recently re-plastered), Automatic driveway gate, 2 air and heat units-recently replaced, Newer tempered glass in large windows and sliding doors, Security shutters and plantation shutters;","Privacy and tranquility define this single-level post-and-beam residence designed by Buff and Hensman. Once owned by the Van Halen brothers, the home beautifully captures modernist ideals with its graceful simplicity and seamless connection between indoor and outdoor spaces. Expansive walls of glass, allowing for natural light in every room, frame stunning views of the treetops and city skyline. The thoughtfully designed floor plan places all bedrooms together in one wing, while the opposite wing features a kitchen and a separate family room with its own closet and full bathroom. A custom stained-glass window completed in 1990 by renowned artist, Judy Jansen, highlights the entry and dining areas. The home has undergone extensive upgrades, including an 800-square-foot addition, a heated pool and spa, updated landscaping, a newer air conditioning -- all while preserving the original Buff and Hensman design and enhancing it with a more contemporary interior style. First time on market in over 30 years! A rare opportunity to customize this historic home offering endless possibilities.ADDITIONAL FEATURES:Private cul-de-sac road with only 5 houses,Views of Eaton Canyon Golf Course and mountains, Newer paved pool deck, Wood burning fireplaceExtra bonus/storage room, Viking stove/oven in kitchenIndividual laundry room, Stained glass build in 1990 upon sellers special order by renowned artist, Judy Jansen, collaborating with Buff and Hensman in many of the houses they designed, Heated pool and spa (recently re-plastered), Automatic driveway gate, 2 air and heat units-recently replaced, Newer tempered glass in large windows and sliding doors, Security shutters and plantation shutters;"
"Bedroom,GreatRoom,Kitchen,Laundry,LivingRoom,PrimaryBedroom,Other,UtilityRoom","Bedroom,GreatRoom,Kitchen,Laundry,LivingRoom,PrimaryBedroom,Other,UtilityRoom"
", 0, 0, 1, 1, 1, 0, NULL, 12, 12, NULL, 1, NULL, 1, 1, NULL, 4.3700, 190357.00, 190357.00, ",", 0, 0, 1, 1, 1, 0, NULL, 12, 12, NULL, 1, NULL, 1, 1, NULL, 4.3700, 190357.00, 190357.00,"
", 1, 0, 1, 0, 0, 1, 1, 1, 1, NULL, 1, 1, 2, 2, NULL, 11.8554, 516421.00, 516421.00, ",", 1, 0, 1, 0, 0, 1, 1, 1, 1, NULL, 1, 1, 2, 2, NULL, 11.8554, 516421.00, 516421.00,"
"Brand new look!! This stunning California Mediterranean residence, nestled in the sought-after street of the Pacific Palisades\","Brand new look!! This stunning California Mediterranean residence, nestled in the sought-after street of the Pacific Palisades\"
", NULL, 0, NULL, NULL, 1, NULL, 1, NULL, 1, 1, 1, NULL, NULL, 93, 93, 1, NULL, NULL, NULL, NULL, 1698900, 0.1170, 5095.00, 5095.00, ",", NULL, 0, NULL, NULL, 1, NULL, 1, NULL, 1, 1, 1, NULL, NULL, 93, 93, 1, NULL, NULL, NULL, NULL, 1698900, 0.1170, 5095.00, 5095.00,"
"BilliardRoom,Clubhouse,ControlledAccess,FitnessCenter,MaintenanceGrounds,GameRoom,Insurance,MeetingRoom,MeetingBanquetPartyRoom,OutdoorCookingArea,Barbecue,Pool,PetRestrictions,Racquetball,RecreationRoom,RvParking,Sauna,SpaHotTub,TennisCourts,Trash","BilliardRoom,Clubhouse,ControlledAccess,FitnessCenter,MaintenanceGrounds,GameRoom,Insurance,MeetingRoom,MeetingBanquetPartyRoom,OutdoorCookingArea,Barbecue,Pool,PetRestrictions,Racquetball,RecreationRoom,RvParking,Sauna,SpaHotTub,TennisCourts,Trash"
"BreakfastBar,CeilingFans,SeparateFormalDiningRoom,OpenFloorplan,Pantry,QuartzCounters,RecessedLighting,Storage,AllBedroomsDown,BedroomOnMainLevel,MainLevelPrimary,WalkInPantry,WalkInClosets","BreakfastBar,CeilingFans,SeparateFormalDiningRoom,OpenFloorplan,Pantry,QuartzCounters,RecessedLighting,Storage,AllBedroomsDown,BedroomOnMainLevel,MainLevelPrimary,WalkInPantry,WalkInClosets"
"Clubhouse,ControlledAccess,Barbecue,PicnicArea,Playground,Pool","Clubhouse,ControlledAccess,Barbecue,PicnicArea,Playground,Pool"
"CeilingFans,SeparateFormalDiningRoom,AllBedroomsUp,PrimarySuite,WalkInPantry,WalkInClosets","CeilingFans,SeparateFormalDiningRoom,AllBedroomsUp,PrimarySuite,WalkInPantry,WalkInClosets"
"Biking,Foothills,Golf,Hiking,HorseTrails,MilitaryLand,Mountainous,NearNationalForest,Park,Rural,StormDrains,StreetLights","Biking,Foothills,Golf,Hiking,HorseTrails,MilitaryLand,Mountainous,NearNationalForest,Park,Rural,StormDrains,StreetLights"
"CovenantsRestrictionsDisclosure,HoaDisclosure,HomeWarranty,ListingBrokerAdvantage,PrincipalIsRealEstateLicensed,SellerDisclosure","CovenantsRestrictionsDisclosure,HoaDisclosure,HomeWarranty,ListingBrokerAdvantage,PrincipalIsRealEstateLicensed,SellerDisclosure"
"Great Value - Antioch home with 5 bedrooms and 3 baths with 3,272 sq. ft. Per public records. Pool unknown, same as garage status. - Property being sold AS IS. Property is occupied and not available for viewing/showing of any kind. Property sold with occupants.","Great Value - Antioch home with 5 bedrooms and 3 baths with 3272 square feet Per public records. Pool unknown, same as garage status. - Property being sold AS IS. Property is occupied and not available for viewing/showing of any kind. Property sold with occupants."
", 1, NULL, 1, 1, 1, 0, 0, 8, NULL, 1, 21, NULL, 3, 3, NULL, 0.4049, 17637.00, 17637.00, ",", 1, NULL, 1, 1, 1, 0, 0, 8, NULL, 1, 21, NULL, 3, 3, NULL, 0.4049, 17637.00, 17637.00,"
"Welcome to this highly sought-after Heather Ridge residence, offering two bedrooms and two bathrooms in a beautifully maintained community. This desirable lower-level corner unit is filled with natural light and framed by serene nature views from every window. Enter through your own private covered porch into the living area, perfect for both everyday living and entertaining. The living room features a cozy fireplace and flows seamlessly into the dining area and well-appointed kitchen, creating an open-concept layout. The living room also has access to your own private covered patio, perfect for relaxing or enjoying the surrounding nature. The primary suite is a true retreat, featuring a large walk-in closet and an en-suite bathroom with double sinks. The guest bedroom and full guest bath are positioned on the opposite side of the home, offering privacy for visitors or a home office. Direct access from the two-car garage leads into the laundry room, providing convenience for daily living. Community amenities include a large swimming pool, spa/hot tub, barbecue area, tennis courts, and basketball courts—ideal for enjoying an active and social lifestyle. Conveniently located near shopping, popular restaurants, and easy access to the 14 freeway. This home offers the perfect blend of comfort, elegance, and location.","Welcome to this highly sought-after Heather Ridge residence, offering two bedrooms and two bathrooms in a beautifully maintained community. This desirable lower-level corner unit is filled with natural light and framed by serene nature views from every window. Enter through your own private covered porch into the living area, perfect for both everyday living and entertaining. The living room features a cozy fireplace and flows seamlessly into the dining area and well-appointed kitchen, creating an open-concept layout. The living room also has access to your own private covered patio, perfect for relaxing or enjoying the surrounding nature. The primary suite is a true retreat, featuring a large walk-in closet and an en-suite bathroom with double sinks. The guest bedroom and full guest bath are positioned on the opposite side of the home, offering privacy for visitors or a home office. Direct access from the two-car garage leads into the laundry room, providing convenience for daily living. Community amenities include a large swimming pool, spa/hot tub, barbecue area, tennis courts, and basketball courts—ideal for enjoying an active and social lifestyle. Conveniently located near shopping, popular restaurants, and easy access to the 14 freeway. This home offers the perfect blend of comfort, elegance, and location."
", 0, 0, 1, 1, NULL, 1, 0, 1, 1, 0, 0, NULL, 3, 3, NULL, 62, NULL, 2, 1, NULL, 2.0271, 88302.00, 88302.00, ",", 0, 0, 1, 1, NULL, 1, 0, 1, 1, 0, 0, NULL, 3, 3, NULL, 62, NULL, 2, 1, NULL, 2.0271, 88302.00, 88302.00,"
"Cash,Conventional,Contract,FHA,FannieMae,FreddieMac,Submit,UsdaLoan,VaLoan","Cash,Conventional,Contract,FHA,FannieMae,FreddieMac,Submit,UsdaLoan,VaLoan"
"Welcome to your private retreat in the heart of Oasis Country Club. This two-story residence offers two spacious bedrooms, two and a half bathrooms, and a thoughtfully designed floor plan that blends comfort with convenience. Upstairs, you\","Welcome to your private retreat in the heart of Oasis Country Club. This two-story residence offers two spacious bedrooms, two and a half bathrooms, and a thoughtfully designed floor plan that blends comfort with convenience. Upstairs, you\"
"ElectricCooktop,Disposal,HighEfficiencyWaterHeater,TanklessWaterHeater","ElectricCooktop,Disposal,HighEfficiencyWaterHeater,TanklessWaterHeater"
"SixBurnerStove,BuiltInRange,Barbecue,Dishwasher,Freezer,GasCooktop,Microwave,Refrigerator,TanklessWaterHeater","SixBurnerStove,BuiltInRange,Barbecue,Dishwasher,Freezer,GasCooktop,Microwave,Refrigerator,TanklessWaterHeater"
"Nestled in a serene cul-de-sac, this stunning 3-bedroom, 2.5-bathroom home showcases an inviting neutral color palette that enhances its bright and airy atmosphere. The expansive floor plan features majestic cathedral ceilings that create a sense of openness throughout the living spaces. The gourmet kitchen is a chef\","Nestled in a serene cul-de-sac, this stunning 3-bedroom, 2.5-bathroom home showcases an inviting neutral color palette that enhances its bright and airy atmosphere. The expansive floor plan features majestic cathedral ceilings that create a sense of openness throughout the living spaces. The gourmet kitchen is a chef\"
", NULL, 0, NULL, NULL, 1, NULL, 0, NULL, 1, 1, 1, NULL, NULL, 40, 40, 0, NULL, NULL, NULL, NULL, 679000, 0.1377, 6000.00, 6000.00, ",", NULL, 0, NULL, NULL, 1, NULL, 0, NULL, 1, 1, 1, NULL, NULL, 40, 40, 0, NULL, NULL, NULL, NULL, 679000, 0.1377, 6000.00, 6000.00,"
"s also a large indoor laundry room. The interior has been recently painted, creating a light and airy atmosphere. The property also includes a sparkling pool with a dressing area, two garages (ideal for car enthusiasts or a workshop), and ample storage. This serene, peaceful, and magical setting provides single-level living with deck views of the hillside and surrounding landscape. There are multiple fruit trees on the property including lemon, pomegranate, avocado, and more. The guest house is completely separate from the main residence, featuring 1 bedroom, 1 bathroom, a living room, and a kitchen, approximately 800 sq ft.  All nestled within the beautiful landscape. This home has been lovingly cared for by the same owner for over 20 years, offering a unique opportunity to own a truly special property. Enjoy privacy, peace, and quiet in this rural country setting.","s also a large indoor laundry room. The interior has been recently painted, creating a light and airy atmosphere. The property also includes a sparkling pool with a dressing area, two garages (ideal for car enthusiasts or a workshop), and ample storage. This serene, peaceful, and magical setting provides single-level living with deck views of the hillside and surrounding landscape. There are multiple fruit trees on the property including lemon, pomegranate, avocado, and more. The guest house is completely separate from the main residence, featuring 1 bedroom, 1 bathroom, a living room, and a kitchen, approximately 800 square feet All nestled within the beautiful landscape. This home has been lovingly cared for by the same owner for over 20 years, offering a unique opportunity to own a truly special property. Enjoy privacy, peace, and quiet in this rural country setting."
"First time on market, custom built home. Located on Highland Springs Rd on almost an acre is this 4005 sqft home with 2 car garage as well as attached RV garage. Home has formal dining room, family room, living room, 4 large bedrooms and 3 bathrooms and office.  With a fireplace and wood burning stove along with 6 mini splits there are plenty of choices for comfort. Owned solar will keep the power bills manageable. The home has a well for water. There is also a backup generator in case of power outage. For outside comfort and entertaining, there is a newer updated multi level deck leading to a beautiful private pool with slide and diving board, overlooking Lakeport with views of Clearlake and vineyards. This is a must see home perfect for a large family or vacation home!!","First time on market, custom built home. Located on Highland Springs Rd on almost an acre is this 4005 square feet home with 2 car garage as well as attached RV garage. Home has formal dining room, family room, living room, 4 large bedrooms and 3 bathrooms and office. With a fireplace and wood burning stove along with 6 mini splits there are plenty of choices for comfort. Owned solar will keep the power bills manageable. The home has a well for water. There is also a backup generator in case of power outage. For outside comfort and entertaining, there is a newer updated multi level deck leading to a beautiful private pool with slide and diving board, overlooking Lakeport with views of Clearlake and vineyards. This is a must see home perfect for a large family or vacation home!!"
"Welcome home! This home has a resort like backyard perfect for entertaining large parties  perfect for long weekend barbeques with friends and family. This Immaculate home, has too many amenities to list. Contemporary kitchen, dining room with wine refrigerator, living room with gas fireplace. Family room with access to rear patio & pool. 1 bedroom downstairs (could be an office), updated bathroom with  shower over tub and updated laundry room. Upstairs you have 2 updated bedrooms and a bathroom then a principal bedroom ensuite with a double sink and a shower over tub. A walk in master closet and an elevated alcove make this principal bedroom complete. The backyard comes complete with a beautiful pool and spa, mature fruit trees, synthetic lawn for low maintenance and large decks with a covered dining area, built in outdoor kitchen, heaters, outdoor TV and fans. This backyard is ideal for family entertainment.","Welcome home! This home has a resort like backyard perfect for entertaining large parties perfect for long weekend barbeques with friends and family. This Immaculate home, has too many amenities to list. Contemporary kitchen, dining room with wine refrigerator, living room with gas fireplace. Family room with access to rear patio & pool. 1 bedroom downstairs (could be an office), updated bathroom with shower over tub and updated laundry room. Upstairs you have 2 updated bedrooms and a bathroom then a principal bedroom ensuite with a double sink and a shower over tub. A walk in master closet and an elevated alcove make this principal bedroom complete. The backyard comes complete with a beautiful pool and spa, mature fruit trees, synthetic lawn for low maintenance and large decks with a covered dining area, built in outdoor kitchen, heaters, outdoor TV and fans. This backyard is ideal for family entertainment."
", 0, 0, 0, 1, NULL, 0, 0, 1, 1, 1, 0, 0, 7, 185, NULL, 1, NULL, 3, 2, NULL, 0.1653, 7199.00, 7199.00, ",", 0, 0, 0, 1, NULL, 0, 0, 1, 1, 1, 0, 0, 7, 185, NULL, 1, NULL, 3, 2, NULL, 0.1653, 7199.00, 7199.00,"
", 0, 0, 0, NULL, NULL, 1, 0, 1, 1, 1, 1, NULL, 9, 9, NULL, 1, NULL, 4, 3, NULL, 1.0596, 46158.00, 46158.00, ",", 0, 0, 0, NULL, NULL, 1, 0, 1, 1, 1, 1, NULL, 9, 9, NULL, 1, NULL, 4, 3, NULL, 1.0596, 46158.00, 46158.00,"
"BonusRoom,EntryFoyer,FamilyRoom,GreatRoom,MediaRoom,Other,Pantry,Sauna,Sunroom","BonusRoom,EntryFoyer,FamilyRoom,GreatRoom,MediaRoom,Other,Pantry,Sauna,Sunroom"
"BlockWalls,SeparateFormalDiningRoom,EatInKitchen,GraniteCounters","BlockWalls,SeparateFormalDiningRoom,EatInKitchen,GraniteCounters"
"Biking,Curbs,Gutters,Hiking,HorseTrails,Rural,StormDrains,StreetLights,Sidewalks","Biking,Curbs,Gutters,Hiking,HorseTrails,Rural,StormDrains,StreetLights,Sidewalks"
"Welcome to effortless living in the sought-after 55+ gated community of Terramor. Tucked away at the end of a quiet street, this beautifully maintained home offers privacy, stunning views, and paid-off solar, making it as efficient as it is inviting.\r\r\n\r\r\nInside, you’ll find a fresh, clean, bright, and airy interior with an open-concept floor plan designed for both comfort and connection. High ceilings enhance the spacious feel, while the kitchen island overlooks the dining area and family room, all perfectly positioned to take in the incredible views. The kitchen shines with pendant lighting, a built-in cooktop, and crisp, modern finishes that feel like new.\r\r\n\r\r\nThe primary suite is a peaceful retreat, featuring scenic views, a spacious bathroom with dual sinks, a walk-in shower, a linen closet, and a generous walk-in closet. A secondary bedroom with its own private bathroom is ideal for guests or a home office. Additional highlights include a dedicated laundry room and a covered patio that opens to a low-maintenance yard, perfect for relaxing and enjoying the scenery without the upkeep.\r\r\n\r\r\nLiving in Terramor means enjoying a resort-style lifestyle with parks, dog parks, playgrounds, an impressive clubhouse with bar and billiard room, indoor and outdoor pools, a state-of-the-art gym, tennis and pickleball courts, and so much more.\r\r\n\r\r\nThis home offers the perfect blend of style, comfort, views, and low-maintenance living in one of the area’s premier 55+ communities.","Welcome to effortless living in the sought-after 55+ gated community of Terramor. Tucked away at the end of a quiet street, this beautifully maintained home offers privacy, stunning views, and paid-off solar, making it as efficient as it is inviting.\r\r\n\r\r\nInside, you'll find a fresh, clean, bright, and airy interior with an open-concept floor plan designed for both comfort and connection. High ceilings enhance the spacious feel, while the kitchen island overlooks the dining area and family room, all perfectly positioned to take in the incredible views. The kitchen shines with pendant lighting, a built-in cooktop, and crisp, modern finishes that feel like new.\r\r\n\r\r\nThe primary suite is a peaceful retreat, featuring scenic views, a spacious bathroom with dual sinks, a walk-in shower, a linen closet, and a generous walk-in closet. A secondary bedroom with its own private bathroom is ideal for guests or a home office. Additional highlights include a dedicated laundry room and a covered patio that opens to a low-maintenance yard, perfect for relaxing and enjoying the scenery without the upkeep.\r\r\n\r\r\nLiving in Terramor means enjoying a resort-style lifestyle with parks, dog parks, playgrounds, an impressive clubhouse with bar and billiard room, indoor and outdoor pools, a state-of-the-art gym, tennis and pickleball courts, and so much more.\r\r\n\r\r\nThis home offers the perfect blend of style, comfort, views, and low-maintenance living in one of the area's premier 55+ communities."
"FrontYard,NearPark,NearPublicTransit,RectangularLot,ValueInLand,Walkstreet,Yard","FrontYard,NearPark,NearPublicTransit,RectangularLot,ValueInLand,Walkstreet,Yard"
"Welcome to The Rinaldi Village Community, nestled in the northern part of Granada Hills. This is a lovely two story townhouse filled with natural light (only 4 units attached) on the West side of Midwood Drive. This home offers a multi-level layout; from the open dining area you\","Welcome to The Rinaldi Village Community, nestled in the northern part of Granada Hills. This is a lovely two story townhouse filled with natural light (only 4 units attached) on the West side of Midwood Drive. This home offers a multi-level layout; from the open dining area you\"
", 0, 0, 1, 1, 1, 0, 1, 2, 2, NULL, 1, NULL, 2, 1, 1688800, 0.1891, 8239.00, 8239.00, ",", 0, 0, 1, 1, 1, 0, 1, 2, 2, NULL, 1, NULL, 2, 1, 1688800, 0.1891, 8239.00, 8239.00,"
"Dishwasher,ElectricOven,ElectricRange,ElectricWaterHeater,Disposal,Microwave,Refrigerator","Dishwasher,ElectricOven,ElectricRange,ElectricWaterHeater,Disposal,Microwave,Refrigerator"
"PRICED AGRESSIVELY - MOTIVATED SELLER! Welcome to Allied Gardens! This charming 1-bedroom, 1-bath condo offers the perfect blend of comfort and convenience in the heart of San Diego. Located on the ground floor, Unit A114 features a bright and open layout, spacious living area that opens to a private patio ideal for relaxing or entertaining.  Upgraded kitchen, custom white cabinetry,  breakfast bar that flows into the dining space, and modern stainless steel appliances. The generously sized bedroom includes a walk-in closet. Remodeled  bathroom with walk in shower. This condo includes one assigned parking space and low-maintenance living with HOA dues covering ALL water, trash, roof maintenance, and common area ground maintenance. Located just minutes from Mission Valley, SDSU, and local parks, this home offers excellent value in a prime central San Diego location. Ideal for first-time buyers, downsizers, or investors seeking strong rental potential.","PRICED AGRESSIVELY - MOTIVATED SELLER! Welcome to Allied Gardens! This charming 1-bedroom, 1-bath condo offers the perfect blend of comfort and convenience in the heart of San Diego. Located on the ground floor, Unit A114 features a bright and open layout, spacious living area that opens to a private patio ideal for relaxing or entertaining. Upgraded kitchen, custom white cabinetry, breakfast bar that flows into the dining space, and modern stainless steel appliances. The generously sized bedroom includes a walk-in closet. Remodeled bathroom with walk in shower. This condo includes one assigned parking space and low-maintenance living with HOA dues covering ALL water, trash, roof maintenance, and common area ground maintenance. Located just minutes from Mission Valley, SDSU, and local parks, this home offers excellent value in a prime central San Diego location. Ideal for first-time buyers, downsizers, or investors seeking strong rental potential."
", 1, 0, 1, 1, 1, 1, NULL, 208, 208, 1, 1, NULL, 2, 1, 499000, NULL, NULL, NULL, ",", 1, 0, 1, 1, 1, 1, NULL, 208, 208, 1, 1, NULL, 2, 1, 499000, NULL, NULL, NULL,"
"BRAND NEW CONSTRUCTION, NEVER LIVED IN!  Set atop the highest point of Portola Springs! The popular Plan One in the highly coveted Olivewood community! This two-story single-family home features 4 bedrooms (1 main floor suite), 3 bathrooms, and a spacious LOFT. With over $110,000 in upgrades, including fully-owned solar panels, wood flooring throughout the first level, a Sub-Zero built-in refrigerator and Wolf appliances, panoramic doors open to the back yard, this home is designed for modern luxury. The open-concept layout flows effortlessly, and the landscaped yard provides an ideal outdoor retreat. Located within the renowned Irvine Unified School District with convenient access to top-ranked Loma Ridge Elementary and Portola High School, this home offers a rare chance to live in an exclusive community. Walking distance to miles of scenic trails and 15+ amenity-rich parks with pools, playgrounds, mini golf, tennis courts and more. This home is an absolute gem that you won\","BRAND NEW CONSTRUCTION, NEVER LIVED IN! Set atop the highest point of Portola Springs! The popular Plan One in the highly coveted Olivewood community! This two-story single-family home features 4 bedrooms (1 main floor suite), 3 bathrooms, and a spacious LOFT. With over $110000 in upgrades, including fully-owned solar panels, wood flooring throughout the first level, a Sub-Zero built-in refrigerator and Wolf appliances, panoramic doors open to the back yard, this home is designed for modern luxury. The open-concept layout flows effortlessly, and the landscaped yard provides an ideal outdoor retreat. Located within the renowned Irvine Unified School District with convenient access to top-ranked Loma Ridge Elementary and Portola High School, this home offers a rare chance to live in an exclusive community. Walking distance to miles of scenic trails and 15+ amenity-rich parks with pools, playgrounds, mini golf, tennis courts and more. This home is an absolute gem that you won\"
